timestamp,true,persistence_pred,rf_pred
2020-07-29 00:35:00,877.06,881.07,877.2299189254144
2020-07-29 00:40:00,885.13,877.06,887.2025460659845
2020-07-29 00:45:00,890.21,885.13,894.2954723426391
2020-07-29 00:50:00,877.45,890.21,874.1379734362166
2020-07-29 00:55:00,882.38,877.45,886.567628383329
2020-07-29 01:00:00,888.96,882.38,886.907928842082
2020-07-29 01:05:00,878.96,888.96,875.3709122037789
2020-07-29 01:10:00,884.99,878.96,886.6614540271631
2020-07-29 01:15:00,890.06,884.99,894.2954723426391
2020-07-29 01:20:00,883.69,890.06,876.5845328158701
2020-07-29 01:25:00,878.23,883.69,877.2102076666275
2020-07-29 01:30:00,877.79,878.23,879.286621452502
2020-07-29 01:35:00,876.11,877.79,878.5696115856456
2020-07-29 01:40:00,875.9,876.11,874.5847834553797
2020-07-29 01:45:00,876.52,875.9,873.944353621126
2020-07-29 01:50:00,877.38,876.52,878.448604469638
2020-07-29 01:55:00,888.76,877.38,888.6170552721765
2020-07-29 02:00:00,880.6,888.76,870.548681470497
2020-07-29 02:05:00,875.47,880.6,874.1522803413551
2020-07-29 02:10:00,886.51,875.47,882.1942396659159
2020-07-29 02:15:00,887.11,886.51,886.4181541660028
2020-07-29 02:20:00,875.5,887.11,870.4703811330593
2020-07-29 02:25:00,888.07,875.5,885.7671220503478
2020-07-29 02:30:00,890.52,888.07,887.9128024738577
2020-07-29 02:35:00,876.07,890.52,876.2862437932995
2020-07-29 02:40:00,885.29,876.07,886.878144342641
2020-07-29 02:45:00,888.86,885.29,892.2873268193657
2020-07-29 02:50:00,874.11,888.86,873.1873323581148
2020-07-29 02:55:00,879.12,874.11,879.5920905659201
2020-07-29 03:00:00,893.33,879.12,895.1246354874264
2020-07-29 03:05:00,875.25,893.33,874.2556082488813
2020-07-29 03:10:00,889.89,875.25,888.4648278434101
2020-07-29 03:15:00,884.38,889.89,879.3875280292337
2020-07-29 03:20:00,875.09,884.38,874.7576055043392
2020-07-29 03:25:00,885.0,875.09,881.7817867041214
2020-07-29 03:30:00,886.83,885.0,886.494933625876
2020-07-29 03:35:00,876.14,886.83,871.0197752173792
2020-07-29 03:40:00,887.51,876.14,887.8127005044911
2020-07-29 03:45:00,881.91,887.51,878.3284966270678
2020-07-29 03:50:00,876.88,881.91,876.1712220054693
2020-07-29 03:55:00,893.27,876.88,893.962806845459
2020-07-29 04:00:00,875.24,893.27,876.4591360429055
2020-07-29 04:05:00,880.03,875.24,879.8410932160396
2020-07-29 04:10:00,887.65,880.03,886.9228253961938
2020-07-29 04:15:00,881.09,887.65,875.1194611326604
2020-07-29 04:20:00,892.73,881.09,888.9270284166466
2020-07-29 04:25:00,877.17,892.73,881.2165695519649
2020-07-29 04:30:00,884.47,877.17,886.8663730721294
2020-07-29 04:35:00,887.08,884.47,888.1033572248057
2020-07-29 04:40:00,884.26,887.08,886.4589516614294
2020-07-29 04:45:00,882.66,884.26,886.0319448406153
2020-07-29 04:50:00,882.26,882.66,879.6778527870761
2020-07-29 04:55:00,882.5,882.26,880.1419432565078
